,0,1,2,3,4,5,6,7,8,9
95,AvenansRanucinus,Advenans / Avenans,Ranucinus,M,,,CCCCXXVIII_389,1266-08-22,1,['CCCCXXVIII_389']
96,Advocatus,Advocatus,,M,,,CCLXI_222,1187-11-13,5,"['CCLXI_222', 'CCCLVI_318', 'CCXXVII_188', 'LXXXVII_104', 'LXIIII_91']"
97,AdvocatusSarzana,Advocatus,de Sarzana,M,,,CCCLVI_318,1188-04-05,3,"['CCCLVI_318', 'CCXXVII_188', 'LXXXVII_104']"
98,AfflorataBelmese,Afflorata,filia Belmese,F,,,CCCLXXVII_339,1232-06-06,1,['CCCLXXVII_339']
99,Aginellus,Aginellus,,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
100,Agnelluscalz,Agnellus,de Sarzana ,M,calçolarius,,CCCLXVIII_330,1203-11-15,1,['CCCLXVIII_330']
101,AgnellusBlanci_notarius,Agnellus,filius quondam Blanci de Embulo sancti Xisti,M,"imperialis aule notarius et domini Ottonis, serenissimi Romanorum
              imperatoris, iudex ordinarius",,LIII_80,1219-03-08,1,['LIII_80']
102,AgnellusPoçobonizo,Agnellus,de Poçobonizo,M,frater Ordinis Fratrum Minorum,,C_117,1285-02-12,1,['C_117']
103,Agnesia,Agnesia,,F,,,CXXXIIII_151,1230-11-02,4,"['CXXXIIII_151', 'CCCLXXXXV_356', 'C03', 'G528']"
104,AgnesiaFalGer,Agnesia,uxor Gerardi,F,domina de Falcinello,,CXXXIIII_151,1230-11-02,1,['CXXXIIII_151']
105,AgnesiaFalGuid,Agnesia,uxor Guidonis,F,domina de Falcinello,,CXXXIIII_151,1230-11-02,1,['CXXXIIII_151']
106,AgnesiaIacopini,Agnesia,"filia quondam Iacopini, uxor Rollandi quondam Guilielmi de
                Valdonega",F,,,CCCLXXXXV_356,1235-02-02,1,['CCCLXXXXV_356']
107,AgnesiaParentini,Agnesia,uxor quondam Parentini,F,,,C03,1273-04-25,2,"['C03', 'G528']"
108,AycardellusBosi,Aicardellus / Aycardellus,quondam Bosi,M,,,CCXLII_203,1219-01-16,1,['CCXLII_203']
109,AicardellusVenture,Aicardellus / Aycardellus,quondam Venture Brageri,M,,,CCLXXXI_243,1265-05-31,1,['CCLXXXI_243']
110,Aicardinus,Aicardinus / Aycardinus,,M,,,CCCXLVIIII_311,1150-01-01,4,"['CCCXLVIIII_311', 'LIIII_81', 'CCCCXL_401', 'XXXXV_73']"
111,AicardinusBurataFarina,Aicardinus / Aycardinus,Burata Farina,M,,,LIIII_81,1219-05-01,1,['LIIII_81']
112,AycardinusTorenco,Aicardinus / Aycardinus / Aicardus,de Torenco / de Torento,M,dominus et consors castri Ysole,,CCCCLXXV_437,1221-08-01,2,"['CCCCLXXV_437', 'C03']"
113,AicardinusVicecomitis,Aicardinus / Aycardinus,quondam Vicecomitis,M,dominus et consors castri Ysole,,CCCCXL_401,1230-04-30,1,['CCCCXL_401']
114,Aidans,Aidans / Aidante,,M,,,CXIIII_131,1232-08-14,23,"['CXIIII_131', 'CXLVIII_166', 'CCCCI_362', 'CCCLXXXXVIIII_360', 'CLI_169', 'CXLVII_165', 'CLVIII_176', 'CCCCLVII_418', 'CLXVII_525', 'DVI_467', 'CCCCXXXXV_406', 'CCXXII_183', 'CL_168', 'CLV_173', 'CLII_170', 'CLIIII_172', 'CXLII_160', 'CXXXVIIII_156', 'CXXIIII_141', 'C12', 'CLVII_175', 'XXVII_56', 'B02']"
115,AidansAimeline,Aidans / Aidante,quondam Aimeline de Ponzanello,M,,,CLII_170,1255-10-25,1,['CLII_170']
116,AidansAmelia,Aidans / Aidante,de Amelia,M,,,CL_168,1255-05-30,1,['CL_168']
117,AidanteBellandini,Aidans / Aidante,Bellandini,M,,,C03,1273-04-25,2,"['C03', 'G528']"
118,AidansBottoni,Aidans / Aidante,quondam Bottoni /quondam Botonis,M,,,CLV_173,1255-09-19,1,['CLV_173']
119,AidansGondeti,Aidans / Aidante,quondam Gondeti de Ponzanello,M,consul de Ponzanello,,CXIIII_131,1232-08-14,8,"['CXIIII_131', 'CLXVII_525', 'CCCCXXXXV_406', 'CCXXII_183', 'CLV_173', 'CLIIII_172', 'CXLII_160', 'CLVII_175']"
120,AidansMeliorati,Aidans / Aidante,quondam Meliorati,M,,,CXXXVIIII_156,1260-04-21,1,['CXXXVIIII_156']
121,AidansPellini,Aidans / Aidante,quondam Pellini,M,"syndicus et procurator communium et universitatum de Marola et de
              Matrono",,CCCCI_362,1235-01-07,2,"['CCCCI_362', 'CCCLXXXXVIIII_360']"
122,AidansPonz,Aidans / Aidante,de Ponzanello,M,,,CXLVIII_166,1234-08-24,5,"['CXLVIII_166', 'CLI_169', 'CXLVII_165', 'CCCCLVII_418', 'DVI_467']"
123,AidansSar,Aidans / Aidante,de castro Sarzane,M,,,CXXIIII_141,1269-12-09,1,['CXXIIII_141']
124,AidansSerra,Aidans / Aidante,de Serra,M,,,CLVIII_176,1253-08-22,1,['CLVIII_176']
125,AidansSibaldi,Aidans / Aidante,quondam Sibaldi,M,,,C12,1273-04-25,1,['C12']
126,AidansVenuti,Aidans / Aidante,filius et heres quondam Venuti de Popellano,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
127,Aidegerius,Aidegerius,,M,,,C12,1273-04-25,1,['C12']
128,Aidelina,Aidelina,,F,,,CCCXLVIIII_311,1150-01-01,3,"['CCCXLVIIII_311', 'C03', 'G528']"
129,AifredusPontremulo,Aifredus,de Pontremulo,M,,,DXXXV_496,1187-02-26,1,['DXXXV_496']
130,Aymelina,Aimelina / Aymelina / Amelina,,F,,,CCLXVI_228,1241-03-03,3,"['CCLXVI_228', 'C03', 'G528']"
131,AimelinaBonfilioli,Aimelina / Aymelina,quondam Bonfilioli,F,,,CCCXVI_278,1230-06-01,1,['CCCXVI_278']
132,AimelinaCastronovo,Aimelina / Aymelina,de Castronovo,F,,,CCLXXXXIIII_256,1235-12-05,1,['CCLXXXXIIII_256']
133,Aimellus,Aimellus,,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
134,Aymericus,Aimericus / Aymericus / Aimerricus,,M,,,XXVI_55,1235-01-01,4,"['XXVI_55', 'XXVII_56', 'CXXXIII_150', 'CXXXII_149']"
135,AimericusCepparana,Aimericus / Aymericus / Aimerricus,de Cepparana,M,nobilis,,C03,1273-04-25,1,['C03']
136,AimericusGiovagallo,Aimericus / Aymericus / Aimerricus,de Iuvagallo,M,nobilis,,none,none,0,[]
137,AimericusVivasini,Aimericus / Aymericus / Aimerricus,quondam Vivasini de Castagnetolo,M,,,CCCCXVII_378,1256-06-04,3,"['CCCCXVII_378', 'CCCCXVI_377', 'A01']"
138,Aitantellus,Aitantellus,filiius Aidantis de Ponzanello,M,,,CXLVII_165,1237-01-18,1,['CXLVII_165']
139,Aiutellus,Aiutellus,,M,,Per questa forma antroponimica si veda ,CXIIII_131,1232-08-14,1,['CXIIII_131']
140,AlamannusCazana,Alamannus,de Cazana,M,familiaris domini episcopi,,XXXII_61,1286-03-16,1,['XXXII_61']
141,AlamannusMonteMarzello,Alamannus,de Monte Marzello ,M,,,XXXIII_62,1286-03-18,1,['XXXIII_62']
142,AlamannusMalliola,Alamannus,de Malliola,M,,,CLIII_171,1255-10-26,1,['CLIII_171']
143,AlamannusVezano,Alamannus,de Vezano,M,,,CCCCXXXVIII_399,1203-08-17,1,['CCCCXXXVIII_399']
144,AlbaclaraBonacapti,Albaclara, filia quondam Bonacapti,F,,,XXVII_56,1285-01-01,1,['XXVII_56']
145,Albadinus,Albadinus,,M,,,C06,1273-04-25,1,['C06']
146,Albanensis,Albanensis,uxor Bernardi,F,,,CCLXXXI_243,1265-05-31,3,"['CCLXXXI_243', 'C03', 'G528']"
147,Albeçellus,Albeçellus,,M,,,C03,1273-04-25,2,"['C03', 'G528']"
148,Albercellus,Albercellus,,M,,,CCLXVI_228,1241-03-03,1,['CCLXVI_228']
149,Albergetus,Albergetus,,M,,,CCCCXLVIII_409,1235-05-31,3,"['CCCCXLVIII_409', 'C03', 'C24']"
150,AlbergetusAdduceto,Albergetus,de Adduceto,M,,,C03,1273-04-25,1,['C03']
151,AlbergetusStadia,Albergetus,de Stadia,M,,,CCCCXLVIII_409,1235-05-31,1,['CCCCXLVIII_409']
152,AlberginiusTardioni,Alberginius,"de Factore, filius Tardioni",M,,,C03,1273-04-25,3,"['C03', 'G528', 'XXVII_56']"
153,Albergucius,Albergucius / Alberguçus,,M,,,CCCCV_366,1257-04-10,2,"['CCCCV_366', 'CXXII_139']"
154,AlberguciusFormenti,Albergucius / Alberguçus,quondam Formenti de castro Sarzane,M,,,CXXII_139,1269-08-21,1,['CXXII_139']
155,Albergus,Albergus,,M,,,CCCCXLVIII_409,1235-05-31,8,"['CCCCXLVIII_409', 'C25', 'CCCLXXXI_343', 'C03', 'C24', 'G528', 'C04', 'A01']"
156,AlbergusFontenella,Albergus,de Fontenella,M,,,C25,1252-07-30,2,"['C25', 'CCCLXXXI_343']"
157,AlbergusMontanini,Albergus,Montanini de Veraçano,M,,,C04,1279-12-12,1,['C04']
158,AlbergusRainaldini,Albergus,quondam Rainaldini de La Piaça,M,,,CCCCXLVIII_409,1235-05-31,1,['CCCCXLVIII_409']
159,AlbergusValdonica,Albergus,de Valdonica,M,,,C25,1252-07-30,6,"['C25', 'CCCLXXXI_343', 'C03', 'C24', 'G528', 'A01']"
160,Albericus,Albericus,,M,,,LIIII_81,1219-05-01,1,['LIIII_81']
161,Alberitacius,Alberitacius,,M,,,none,none,0,[]
162,Albertacius,Albertacius,,M,,,LIIII_81,1219-05-01,1,['LIIII_81']
163,AlbertectusAldeprandi,Albertectus,nepos Aldeprandi vicedomini de Trebiano,M,,,CCCCLXXXXII_453,1217-07-26,1,['CCCCLXXXXII_453']
